burned;dim;empty;endOfBurning;finalTime;fireDuration;forest;simulations
9887;100;0.01;131;200;131;0;"1_execution_empty_0.01_"
9887;100;0.01;171;200;171;0;"2_execution_empty_0.01_"
9887;100;0.01;163;200;163;0;"3_execution_empty_0.01_"
9887;100;0.01;153;200;153;0;"4_execution_empty_0.01_"
9887;100;0.01;155;200;155;0;"5_execution_empty_0.01_"
9887;100;0.01;159;200;159;0;"6_execution_empty_0.01_"
9887;100;0.01;184;200;184;0;"7_execution_empty_0.01_"
9887;100;0.01;178;200;178;0;"8_execution_empty_0.01_"
9887;100;0.01;168;200;168;0;"9_execution_empty_0.01_"
9887;100;0.01;136;200;136;0;"10_execution_empty_0.01_"
9688;100;0.03;142;200;142;0;"1_execution_empty_0.03_"
9688;100;0.03;165;200;165;0;"2_execution_empty_0.03_"
9688;100;0.03;154;200;154;0;"3_execution_empty_0.03_"
9688;100;0.03;133;200;133;0;"4_execution_empty_0.03_"
9688;100;0.03;104;200;104;0;"5_execution_empty_0.03_"
9688;100;0.03;146;200;146;0;"6_execution_empty_0.03_"
9688;100;0.03;148;200;148;0;"7_execution_empty_0.03_"
9688;100;0.03;142;200;142;0;"8_execution_empty_0.03_"
9688;100;0.03;163;200;163;0;"9_execution_empty_0.03_"
9687;100;0.03;190;200;190;0;"10_execution_empty_0.03_"
9486;100;0.05;163;200;163;0;"1_execution_empty_0.05_"
9486;100;0.05;143;200;143;0;"2_execution_empty_0.05_"
9486;100;0.05;138;200;138;0;"3_execution_empty_0.05_"
9486;100;0.05;130;200;130;0;"4_execution_empty_0.05_"
9486;100;0.05;127;200;127;0;"5_execution_empty_0.05_"
9486;100;0.05;163;200;163;0;"6_execution_empty_0.05_"
9486;100;0.05;149;200;149;0;"7_execution_empty_0.05_"
9486;100;0.05;155;200;155;0;"8_execution_empty_0.05_"
9486;100;0.05;155;200;155;0;"9_execution_empty_0.05_"
9486;100;0.05;156;200;156;0;"10_execution_empty_0.05_"
9289;100;0.07;147;200;147;0;"1_execution_empty_0.07_"
9289;100;0.07;145;200;145;0;"2_execution_empty_0.07_"
9289;100;0.07;127;200;127;0;"3_execution_empty_0.07_"
9289;100;0.07;138;200;138;0;"4_execution_empty_0.07_"
9290;100;0.07;172;200;172;0;"5_execution_empty_0.07_"
9290;100;0.07;161;200;161;0;"6_execution_empty_0.07_"
9290;100;0.07;131;200;131;0;"7_execution_empty_0.07_"
9290;100;0.07;117;200;117;0;"8_execution_empty_0.07_"
9290;100;0.07;187;200;187;0;"9_execution_empty_0.07_"
9289;100;0.07;116;200;116;0;"10_execution_empty_0.07_"
9099;100;0.09;134;200;134;1;"1_execution_empty_0.09_"
9099;100;0.09;165;200;165;1;"2_execution_empty_0.09_"
9099;100;0.09;135;200;135;1;"3_execution_empty_0.09_"
9099;100;0.09;137;200;137;2;"4_execution_empty_0.09_"
9098;100;0.09;161;200;161;3;"5_execution_empty_0.09_"
