averageBurned;averageForest;averageTime;empty
2479.0;0.0;42.7;0.01
2438.0;0.0;43.9;0.03
2394.6;0.0;40.5;0.05
2351.4;0.0;39.4;0.07
2299.8;0.0;41.4;0.09
2249.8;0.0;44.5;0.11
2205.1;0.0;45.5;0.13
2154.2;0.0;43.5;0.15
2099.0;0.0;43.2;0.17
2037.2;0.0;44.4;0.19
1989.8;0.1;42.5;0.21
1936.7;0.4;42.1;0.23
1880.1;0.3;44.6;0.25
1829.1;0.3;45.3;0.27
1762.0;0.5;45.7;0.29
1710.6;0.2;48.1;0.31
1664.6;0.7;47.5;0.33
1617.1;0.5;43.6;0.35
1559.5;6.6;45.6;0.37
1353.1;158.5;42.8;0.39
1451.8;3.5;47.7;0.41
1403.8;9.6;55.6;0.43
1204.8;152.7;49.8;0.45
1162.6;152.1;48.3;0.47
1229.7;31.8;58.1;0.49
1113.2;101.3;59.1;0.51
922.4;229.7;59.7;0.53
652.6;443.6;57.2;0.55
637.5;413.0;54.8;0.57
502.4;492.2;47.6;0.59
356.4;591.8;56.0;0.61
109.4;794.7;21.6;0.63
91.7;753.7;21.9;0.65
29.5;760.5;9.5;0.67
20.4;728.2;7.1;0.69
30.8;680.9;9.7;0.71
12.4;649.4;6.1;0.73
8.5;608.5;5.8;0.75
7.6;558.4;4.0;0.77
10.8;509.9;5.5;0.79
4.0;462.7;3.0;0.81
4.9;404.4;3.3;0.83
4.6;359.3;2.6;0.85
3.7;317.1;2.8;0.87
2.2;272.5;1.9;0.89
2.0;230.5;1.8;0.91
2.2;171.3;1.8;0.93
1.6;134.7;1.5;0.95
1.2;74.8;1.2;0.97
1.0;32.9;1.0;0.99
