average;dim;empty;max;min;simulation_time
0.0;20;0.0;0;0;-nan(ind)
0.0;20;0.01;0;0;-nan(ind)
0.0;20;0.02;0;0;-nan(ind)
0.0;20;0.03;0;0;-nan(ind)
0.0;20;0.04;0;0;-nan(ind)
0.0;20;0.05;0;0;-nan(ind)
0.0;20;0.06;0;0;-nan(ind)
0.0;20;0.07;0;0;-nan(ind)
0.0;20;0.08;0;0;-nan(ind)
0.0;20;0.09;0;0;-nan(ind)
0.0;20;0.1;0;0;-nan(ind)
0.0;20;0.11;0;0;-nan(ind)
0.0;20;0.12;0;0;-nan(ind)
0.33333333333333;20;0.13;1;0;-nan(ind)
0.33333333333333;20;0.14;1;0;-nan(ind)
3.6666666666667;20;0.15;9;0;-nan(ind)
0.66666666666667;20;0.16;2;0;-nan(ind)
6.3333333333333;20;0.17;14;2;-nan(ind)
1.3333333333333;20;0.18;2;1;-nan(ind)
0.66666666666667;20;0.19;1;0;-nan(ind)
1.3333333333333;20;0.2;2;1;-nan(ind)
2.3333333333333;20;0.21;5;0;-nan(ind)
1.0;20;0.22;3;0;-nan(ind)
1.3333333333333;20;0.23;3;0;-nan(ind)
5.3333333333333;20;0.24;9;1;-nan(ind)
3.0;20;0.25;4;1;-nan(ind)
5.6666666666667;20;0.26;11;2;-nan(ind)
92.666666666667;20;0.27;261;6;-nan(ind)
7.3333333333333;20;0.28;15;2;-nan(ind)
8.0;20;0.29;9;7;-nan(ind)
8.0;20;0.3;11;3;-nan(ind)
15.666666666667;20;0.31;19;14;-nan(ind)
12.0;20;0.32;19;7;-nan(ind)
25.0;20;0.33;37;18;-nan(ind)
22.666666666667;20;0.34;35;10;-nan(ind)
68.333333333333;20;0.35;130;19;-nan(ind)
129.66666666667;20;0.36;213;64;-nan(ind)
111.33333333333;20;0.37;246;27;-nan(ind)
170.33333333333;20;0.38;250;43;-nan(ind)
122.66666666667;20;0.39;224;35;-nan(ind)
132.0;20;0.4;213;32;-nan(ind)
166.33333333333;20;0.41;223;87;-nan(ind)
62.333333333333;20;0.42;88;39;-nan(ind)
137.0;20;0.43;224;59;-nan(ind)
196.33333333333;20;0.44;214;183;-nan(ind)
164.0;20;0.45;215;100;-nan(ind)
188.33333333333;20;0.46;209;174;-nan(ind)
171.0;20;0.47;203;111;-nan(ind)
185.66666666667;20;0.48;190;180;-nan(ind)
155.33333333333;20;0.49;175;117;-nan(ind)
120.66666666667;20;0.5;179;77;-nan(ind)
120.33333333333;20;0.51;142;83;-nan(ind)
176.33333333333;20;0.52;190;166;-nan(ind)
136.33333333333;20;0.53;153;118;-nan(ind)
158.66666666667;20;0.54;171;140;-nan(ind)
165.66666666667;20;0.55;170;159;-nan(ind)
159.33333333333;20;0.56;164;150;-nan(ind)
166.66666666667;20;0.57;176;154;-nan(ind)
163.0;20;0.58;170;159;-nan(ind)
143.33333333333;20;0.59;158;129;-nan(ind)
142.66666666667;20;0.6;146;138;-nan(ind)
150.33333333333;20;0.61;157;141;-nan(ind)
145.0;20;0.62;147;142;-nan(ind)
135.0;20;0.63;145;127;-nan(ind)
140.66666666667;20;0.64;152;134;-nan(ind)
142.0;20;0.65;149;135;-nan(ind)
131.0;20;0.66;142;125;-nan(ind)
128.66666666667;20;0.67;132;124;-nan(ind)
138.66666666667;20;0.68;150;131;-nan(ind)
123.33333333333;20;0.69;131;117;-nan(ind)
114.33333333333;20;0.7;131;103;-nan(ind)
109.66666666667;20;0.71;114;101;-nan(ind)
112.0;20;0.72;123;100;-nan(ind)
108.33333333333;20;0.73;115;96;-nan(ind)
98.0;20;0.74;107;91;-nan(ind)
100.0;20;0.75;108;94;-nan(ind)
94.666666666667;20;0.76;112;85;-nan(ind)
89.666666666667;20;0.77;96;86;-nan(ind)
87.0;20;0.78;90;82;-nan(ind)
84.666666666667;20;0.79;94;74;-nan(ind)
85.333333333333;20;0.8;92;77;-nan(ind)
66.0;20;0.81;75;58;-nan(ind)
64.666666666667;20;0.82;73;59;-nan(ind)
62.333333333333;20;0.83;64;60;-nan(ind)
62.666666666667;20;0.84;72;50;-nan(ind)
54.333333333333;20;0.85;56;53;-nan(ind)
53.333333333333;20;0.86;58;49;-nan(ind)
48.333333333333;20;0.87;62;38;-nan(ind)
44.666666666667;20;0.88;52;40;-nan(ind)
44.666666666667;20;0.89;47;41;-nan(ind)
37.333333333333;20;0.9;50;27;-nan(ind)
34.0;20;0.91;42;22;-nan(ind)
31.333333333333;20;0.92;36;24;-nan(ind)
27.0;20;0.93;30;23;-nan(ind)
21.333333333333;20;0.94;25;15;-nan(ind)
24.666666666667;20;0.95;31;17;-nan(ind)
19.666666666667;20;0.96;26;15;-nan(ind)
12.333333333333;20;0.97;14;11;-nan(ind)
7.3333333333333;20;0.98;11;5;-nan(ind)
3.6666666666667;20;0.99;5;2;-nan(ind)
