burned;dim;empty;finalTime;forest;simulations
400;20;0.0;100;0;"1_execution_dim_20_empty_0.0_"
400;20;0.0;100;0;"2_execution_dim_20_empty_0.0_"
400;20;0.0;100;0;"3_execution_dim_20_empty_0.0_"
397;20;0.01;100;0;"1_execution_dim_20_empty_0.01_"
398;20;0.01;100;0;"2_execution_dim_20_empty_0.01_"
393;20;0.01;100;0;"3_execution_dim_20_empty_0.01_"
389;20;0.02;100;0;"1_execution_dim_20_empty_0.02_"
393;20;0.02;100;0;"2_execution_dim_20_empty_0.02_"
391;20;0.02;100;0;"3_execution_dim_20_empty_0.02_"
387;20;0.03;100;0;"1_execution_dim_20_empty_0.03_"
382;20;0.03;100;0;"2_execution_dim_20_empty_0.03_"
391;20;0.03;100;0;"3_execution_dim_20_empty_0.03_"
390;20;0.04;100;0;"1_execution_dim_20_empty_0.04_"
390;20;0.04;100;0;"2_execution_dim_20_empty_0.04_"
390;20;0.04;100;0;"3_execution_dim_20_empty_0.04_"
382;20;0.05;100;0;"1_execution_dim_20_empty_0.05_"
386;20;0.05;100;0;"2_execution_dim_20_empty_0.05_"
379;20;0.05;100;0;"3_execution_dim_20_empty_0.05_"
379;20;0.06;100;0;"1_execution_dim_20_empty_0.06_"
374;20;0.06;100;0;"2_execution_dim_20_empty_0.06_"
380;20;0.06;100;0;"3_execution_dim_20_empty_0.06_"
372;20;0.07;100;0;"1_execution_dim_20_empty_0.07_"
367;20;0.07;100;0;"2_execution_dim_20_empty_0.07_"
369;20;0.07;100;0;"3_execution_dim_20_empty_0.07_"
368;20;0.08;100;0;"1_execution_dim_20_empty_0.08_"
365;20;0.08;100;0;"2_execution_dim_20_empty_0.08_"
373;20;0.08;100;0;"3_execution_dim_20_empty_0.08_"
365;20;0.09;100;0;"1_execution_dim_20_empty_0.09_"
353;20;0.09;100;0;"2_execution_dim_20_empty_0.09_"
360;20;0.09;100;0;"3_execution_dim_20_empty_0.09_"
357;20;0.1;100;0;"1_execution_dim_20_empty_0.1_"
349;20;0.1;100;0;"2_execution_dim_20_empty_0.1_"
371;20;0.1;100;0;"3_execution_dim_20_empty_0.1_"
344;20;0.11;100;0;"1_execution_dim_20_empty_0.11_"
369;20;0.11;100;0;"2_execution_dim_20_empty_0.11_"
360;20;0.11;100;0;"3_execution_dim_20_empty_0.11_"
364;20;0.12;100;0;"1_execution_dim_20_empty_0.12_"
358;20;0.12;100;0;"2_execution_dim_20_empty_0.12_"
348;20;0.12;100;0;"3_execution_dim_20_empty_0.12_"
346;20;0.13;100;1;"1_execution_dim_20_empty_0.13_"
350;20;0.13;100;0;"2_execution_dim_20_empty_0.13_"
361;20;0.13;100;0;"3_execution_dim_20_empty_0.13_"
341;20;0.14;100;0;"1_execution_dim_20_empty_0.14_"
345;20;0.14;100;1;"2_execution_dim_20_empty_0.14_"
344;20;0.14;100;0;"3_execution_dim_20_empty_0.14_"
346;20;0.15;100;2;"1_execution_dim_20_empty_0.15_"
327;20;0.15;100;9;"2_execution_dim_20_empty_0.15_"
333;20;0.15;100;0;"3_execution_dim_20_empty_0.15_"
334;20;0.16;100;2;"1_execution_dim_20_empty_0.16_"
338;20;0.16;100;0;"2_execution_dim_20_empty_0.16_"
342;20;0.16;100;0;"3_execution_dim_20_empty_0.16_"
331;20;0.17;100;3;"1_execution_dim_20_empty_0.17_"
321;20;0.17;100;14;"2_execution_dim_20_empty_0.17_"
329;20;0.17;100;2;"3_execution_dim_20_empty_0.17_"
321;20;0.18;100;2;"1_execution_dim_20_empty_0.18_"
316;20;0.18;100;1;"2_execution_dim_20_empty_0.18_"
328;20;0.18;100;1;"3_execution_dim_20_empty_0.18_"
335;20;0.19;100;1;"1_execution_dim_20_empty_0.19_"
312;20;0.19;100;0;"2_execution_dim_20_empty_0.19_"
317;20;0.19;100;1;"3_execution_dim_20_empty_0.19_"
327;20;0.2;100;1;"1_execution_dim_20_empty_0.2_"
335;20;0.2;100;1;"2_execution_dim_20_empty_0.2_"
314;20;0.2;100;2;"3_execution_dim_20_empty_0.2_"
318;20;0.21;100;0;"1_execution_dim_20_empty_0.21_"
305;20;0.21;100;5;"2_execution_dim_20_empty_0.21_"
313;20;0.21;100;2;"3_execution_dim_20_empty_0.21_"
317;20;0.22;100;0;"1_execution_dim_20_empty_0.22_"
310;20;0.22;100;3;"2_execution_dim_20_empty_0.22_"
313;20;0.22;100;0;"3_execution_dim_20_empty_0.22_"
296;20;0.23;100;3;"1_execution_dim_20_empty_0.23_"
322;20;0.23;100;0;"2_execution_dim_20_empty_0.23_"
314;20;0.23;100;1;"3_execution_dim_20_empty_0.23_"
284;20;0.24;100;9;"1_execution_dim_20_empty_0.24_"
304;20;0.24;100;1;"2_execution_dim_20_empty_0.24_"
298;20;0.24;100;6;"3_execution_dim_20_empty_0.24_"
305;20;0.25;100;1;"1_execution_dim_20_empty_0.25_"
294;20;0.25;100;4;"2_execution_dim_20_empty_0.25_"
296;20;0.25;100;4;"3_execution_dim_20_empty_0.25_"
313;20;0.26;100;2;"1_execution_dim_20_empty_0.26_"
293;20;0.26;100;4;"2_execution_dim_20_empty_0.26_"
278;20;0.26;100;11;"3_execution_dim_20_empty_0.26_"
293;20;0.27;100;6;"1_execution_dim_20_empty_0.27_"
293;20;0.27;100;11;"2_execution_dim_20_empty_0.27_"
23;20;0.27;100;261;"3_execution_dim_20_empty_0.27_"
297;20;0.28;100;2;"1_execution_dim_20_empty_0.28_"
279;20;0.28;100;15;"2_execution_dim_20_empty_0.28_"
291;20;0.28;100;5;"3_execution_dim_20_empty_0.28_"
255;20;0.29;100;9;"1_execution_dim_20_empty_0.29_"
285;20;0.29;100;7;"2_execution_dim_20_empty_0.29_"
290;20;0.29;100;8;"3_execution_dim_20_empty_0.29_"
273;20;0.3;100;11;"1_execution_dim_20_empty_0.3_"
285;20;0.3;100;3;"2_execution_dim_20_empty_0.3_"
275;20;0.3;100;10;"3_execution_dim_20_empty_0.3_"
253;20;0.31;100;19;"1_execution_dim_20_empty_0.31_"
265;20;0.31;100;14;"2_execution_dim_20_empty_0.31_"
263;20;0.31;100;14;"3_execution_dim_20_empty_0.31_"
267;20;0.32;100;7;"1_execution_dim_20_empty_0.32_"
239;20;0.32;100;19;"2_execution_dim_20_empty_0.32_"
264;20;0.32;100;10;"3_execution_dim_20_empty_0.32_"
255;20;0.33;100;20;"1_execution_dim_20_empty_0.33_"
262;20;0.33;100;18;"2_execution_dim_20_empty_0.33_"
213;20;0.33;100;37;"3_execution_dim_20_empty_0.33_"
233;20;0.34;100;35;"1_execution_dim_20_empty_0.34_"
251;20;0.34;100;10;"2_execution_dim_20_empty_0.34_"
255;20;0.34;100;23;"3_execution_dim_20_empty_0.34_"
115;20;0.35;100;130;"1_execution_dim_20_empty_0.35_"
250;20;0.35;100;19;"2_execution_dim_20_empty_0.35_"
207;20;0.35;100;56;"3_execution_dim_20_empty_0.35_"
149;20;0.36;100;112;"1_execution_dim_20_empty_0.36_"
182;20;0.36;100;64;"2_execution_dim_20_empty_0.36_"
6;20;0.36;100;213;"3_execution_dim_20_empty_0.36_"
243;20;0.37;100;27;"1_execution_dim_20_empty_0.37_"
197;20;0.37;100;61;"2_execution_dim_20_empty_0.37_"
9;20;0.37;100;246;"3_execution_dim_20_empty_0.37_"
23;20;0.38;100;218;"1_execution_dim_20_empty_0.38_"
4;20;0.38;100;250;"2_execution_dim_20_empty_0.38_"
224;20;0.38;100;43;"3_execution_dim_20_empty_0.38_"
8;20;0.39;100;224;"1_execution_dim_20_empty_0.39_"
130;20;0.39;100;109;"2_execution_dim_20_empty_0.39_"
221;20;0.39;100;35;"3_execution_dim_20_empty_0.39_"
83;20;0.4;100;151;"1_execution_dim_20_empty_0.4_"
29;20;0.4;100;213;"2_execution_dim_20_empty_0.4_"
205;20;0.4;100;32;"3_execution_dim_20_empty_0.4_"
1;20;0.41;100;223;"1_execution_dim_20_empty_0.41_"
48;20;0.41;100;189;"2_execution_dim_20_empty_0.41_"
155;20;0.41;100;87;"3_execution_dim_20_empty_0.41_"
143;20;0.42;100;88;"1_execution_dim_20_empty_0.42_"
173;20;0.42;100;60;"2_execution_dim_20_empty_0.42_"
213;20;0.42;100;39;"3_execution_dim_20_empty_0.42_"
112;20;0.43;100;128;"1_execution_dim_20_empty_0.43_"
185;20;0.43;100;59;"2_execution_dim_20_empty_0.43_"
16;20;0.43;100;224;"3_execution_dim_20_empty_0.43_"
8;20;0.44;100;214;"1_execution_dim_20_empty_0.44_"
37;20;0.44;100;192;"2_execution_dim_20_empty_0.44_"
